Alabama,6190,4850,6340
Alaska,6210,4530,6450
Arizona,5810,3910,5650
Arkansas,5650,4350,5750
California,5590,4150,5590
Colorado,6830,5070,6920
Connecticut,7180,4580,7020
Delaware,6550,4170,6590
Florida,6760,5390,6760
Georgia,6400,4750,6190
Hawaii,6540,4700,6400
Idaho,6110,4490,6290
Illinois,6560,4420,6640
Indiana,6580,4440,6710
Iowa,6020,4470,6210
Kansas,6280,4460,6360
Kentucky,6250,4560,6430
Louisiana,6030,4620,6020
Maine,5760,4310,5950
Maryland,5940,4350,5960
Massachusetts,6430,4020,6290
Michigan,6960,4640,7200
Minnesota,6200,4150,6350
Mississippi,5660,4380,5680
Missouri,5970,4450,6030
Montana,6320,4560,6550
Nebraska,6140,4660,6240
Nevada,6950,5170,6660
New Hampshire,6130,4250,6030
New Jersey,6850,4850,6730
New Mexico,6590,4830,6770
New York,6800,4760,6580
North Carolina,6200,4400,6340
North Dakota,6110,4830,6260
Ohio,6030,4140,6110
Oklahoma,6210,4340,6190
Oregon,6220,4310,6390
Pennsylvania,6430,4280,6290
Rhode Island,6280,3990,6020
South Carolina,6220,4640,6330
South Dakota,5970,4770,6220
Tennessee,7120,5110,7240
Texas,6720,5150,6640
Utah,6570,4650,6320
Vermont,6020,4000,5940
Virginia,6590,4880,6650
Washington,6350,4380,6400
West Virginia,6270,4400,6580
Wisconsin,6860,4490,6810
Wyoming,6350,4480,6460
